,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
271,337fbf40-a82a-4a86-8d37-ae2e0bdac56e,problog,4,5,9,2,1,1,6,9
272,f9c547aa-e145-4774-8d32-988dea53049a,problog,4,3,10,2,1,1,5,9
273,cb4c045d-0aee-4666-946f-e8d45b79920c,problog,10,5,8,0,4,1,4,9
274,ee1698d3-a219-4e99-ab5d-25794cd19a38,problog,5,4,10,0,0,0,7,9
275,e001bf1f-0578-4c3b-bfff-6f56cbec8144,problog,6,5,5,2,0,2,5,9
276,aa2c8af8-a410-422b-acdc-53199f1bb156,problog,5,8,7,2,2,2,4,9
277,154f0de9-a986-438e-9729-33f1f9060658,problog,7,3,7,1,2,0,6,9
278,17c4fe3c-07f9-4fc2-97e3-e197d224ea2d,problog,5,6,10,0,2,3,3,9
279,e0fba367-5b65-4655-8bac-e6bae0e29e8e,problog,7,3,9,3,3,0,6,9
280,d80883b8-cc8f-4b30-8f1a-a1bc81035b28,problog,3,5,10,1,2,0,6,9
281,1eed5c19-26df-44d4-bed8-bbfdb362163c,problog,6,2,8,3,2,0,6,9
