,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
1698,099baa62-5288-4f98-9445-64214fdcd0d9,asp,2e973b3f95a989b5eb9d462cd23304ae,10,5,5,0,5,2,3,11
1699,b07e6f31-e43e-422d-9d96-af363f4b819e,asp,b9bb75c5196893bfe130b78244afe773,4,13,3,0,4,3,3,11
1700,72271d65-c914-4a06-8f0f-93420f560cd6,asp,99e312e3244bffe881aa3cae353725dc,6,5,7,0,2,1,5,9
1701,50acc026-9b70-4d8f-81f5-ac3c17502e0d,asp,17cc6af624a0576b1453ecf5015a419e,2,13,5,0,2,3,3,9
1702,d1bcf1f9-e5e8-4853-a807-3fb2dd4cd0d6,asp,52fb9ee006dc1f7822181d832bf9a47e,3,9,5,1,1,3,4,9
1703,30f0b321-6b91-4d41-8074-04c5953be2ad,asp,e37502dc26dfe9ab56ecae4edfa0d6e0,2,15,3,0,2,3,3,9
1704,186e52ec-57ea-4df1-8ea1-ccf16d0b33a0,asp,762e97b5aa7968749376ec710e0ab4e9,6,11,4,0,4,6,4,15
1705,f0e6849d-b7c7-4f6e-b947-523a253c71e0,asp,17cc6af624a0576b1453ecf5015a419e,2,13,5,0,2,3,3,9
1706,7976c026-9de8-4cc3-afbb-c37a0cedcd97,asp,a575b39b991e64b4521d7aabbac9d540,2,7,8,0,0,2,5,9
1707,2f13c82f-48e2-41f7-9807-9dce11ff4473,asp,2e973b3f95a989b5eb9d462cd23304ae,10,5,5,0,5,2,3,11
1708,5ccfa0b0-dbf8-44b8-91c1-58314e0a14ec,asp,e181b229166c02c7eb6394015271fbf3,5,9,4,1,3,3,2,9
1709,4b11b516-f594-4820-b686-71601379a9e7,asp,c44bee1908ac99399f934604220a83bc,7,5,5,1,4,2,3,9
1710,727c7cba-8945-457e-80b6-532251ffdb8e,asp,ef033bb4ce66444b8fbab00b3fe64735,2,9,7,0,1,3,7,13
1711,d577db72-9c69-438f-ae68-4a1f766e166b,asp,735015adcb9ad3d4a73866f9d0eee746,6,5,7,0,4,2,3,9
1712,a679ec2d-ed92-4adf-b004-647ec1328fda,asp,17cc6af624a0576b1453ecf5015a419e,2,13,5,0,2,3,3,9
1713,9cd9c087-0123-4a06-980c-41eb307c829d,asp,79fdf06a17e11e6c549705921b7d57ab,4,9,6,0,1,3,4,9
1714,e30aed57-6922-4aab-93ca-90f62e64ceec,asp,88a486f48ddd34d6967206e1049bf13e,4,4,7,1,1,0,7,9
1715,62075310-1a9c-4665-987b-ed2a10976e45,asp,a561d927b0a9118eebaeff08045508ce,3,8,4,2,1,2,4,9
1716,c3e52cf9-4912-4128-b4c1-b353ab2f4a54,asp,63ecad8f4a25b8196a94d9e396bb2ce9,5,6,7,0,4,2,5,11
1717,24fa47b7-4661-4978-b301-0874ca76e211,asp,ea2762f7d032d52b32575558f60e7a16,6,6,5,1,2,4,5,13
1718,f5cf295d-9c88-49cd-afca-cb288f9ff10d,asp,0bf09869f5c897aeeb2157f184ac3b06,7,6,3,2,2,2,4,9
1719,9e73adcb-2d4c-41f5-964e-ea057b50f3bf,asp,79fdf06a17e11e6c549705921b7d57ab,4,9,6,0,1,3,4,9
1720,9630bf3b-0dd6-4984-87f7-19608e0ad95c,asp,143c2743b6bc915f71b13aa4f7722cfe,7,6,6,0,5,1,4,11
1721,2334acf2-ccf9-49f4-93d2-ed022c228b28,asp,63ecad8f4a25b8196a94d9e396bb2ce9,5,6,7,0,4,2,5,11
